abre;nom_IBD;avis_profil_valid_S_B;Profil_similaire_S_B;avis_profil+E1_N51_valid_JM_V;Profil_similaire_JM_V;avis_profil_valid_R_C;Profil_similaire_R_C;avis_profil_valid_V_P;Profil_similaire_V_P;avis_profil_valid_D_H;Profil_similaire_D_H;avis_profil_valid_S_Q;Profil_similaire_S_Q;Profil_assoc;Abondance;;
NSBN;Navicula subalpina;;;;;Sur la periode 2019-2021, abondant jusqu’a 2,5%;?;;;;;;;;Eaux moins mineralises et moins degradees que NINC;;
NSTS;Nitzschia soratensis;;;;;;;;;Taxon present dans des eaux moins mineralisees et semblant moins degradees que les milieux où le vrai NINC est present en grande quantite.;NINC ?;;;NINC;10 a 60%;;
NYCO;Nitzschia costei;;;;;;;;;Taxon tres repandu, souvent en abondance importante (10 a 65%);?;;;;Tres present;;
PLRC;Planothidium reichardtii;;;;;;;;;;;Tres present;?;;jusqu'a 5%;;
PMNT;Planothidium minutissimum;;;;;;;;;Taxon assez repandu mais souvent en abondance moderee (max 5%);?; Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;Non negligeable;;
POVA;Punctastriata ovalis;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;jusqu'a 5%;;
PRBS;Pseudostaurosira robusta;;;;;Sur la periode 2019-2021, abondant jusqu’a 5%;?;;;;;;;;5 a 25%;;
PSOT;Pseudostaurosira sopotensis;;;;;;;;;Taxon tres repandu, souvent en abondance notable (5 a 25%);SSVE ?;;;SSVE;jusqu'a 2,74%;;
PSPO;Pseudostaurosira polonica;;;;;Sur la periode 2019-2021, abondant jusqu’a 2,74%;?;;;;;;;;;;
PSXO;Platessa saxonica;;;;;;;;;Taxon a l'ecologie tres differente de son ancien synonyme POBG. Souvent en codominance avec PHEL.;PHEL ?;;;PHEL;<5%;;
SBOS;Sellaphora bosniaca;;;Taxon peu frequent souvent en faible abondance (<5%);NDIF?;;;;;;;;;NDIF;;;
SNIG;;;;;;;;;;;;;;;;;
SEAT;;;;;;;;;;;;;;;;;
SCRA;Sellaphora crassulexigua;;;;;;;dans les mêmes cours d'eau que SNIG et SEAT;EOMI?;;;;;EOMI;;;
SECA;Sellaphora capitata;;;;;;;dans les mêmes cours d'eau que SPUP;SPUP;;;;;SPUP;Peu repandu car tres recent dans les bases;;
SESP;Sellaphora saprotolerans;;;;;;;;;Taxon recent peu repandu car present depuis peu dans les bases de donnees… mais ecologie serait a separer de SPUP.;?;;;;Tres present;;
SPDV;Sellaphora pseudoarvensis;;;;;;;;;;;Tres present;?;;jusqu'a 3,47%;;
SRAE;Sellaphora raederae;;;;;Sur la periode 2019-2021, abondant jusqu’a 3,47%;?;;;;;;;;Peu frequent;;
SSBG;Sellaphora schaumburgii;;;;;;;;;;;Quelques stations mais pas presents en grandes quantites;?;;;;
